Rx_lat,Rx_lon,Tx_id,City,Tx_lat,Tx_lon,Distance,Tx_power,Tx_alt,Tx_antenna_height,Tx_height,Freq,Rx_antenna_height,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,Rx_alt,Slope_Tx_Rx,Roughness_Tx_Rx,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Slope_Local_Rx_50m,Roughness_Local_Rx_50m,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,Temp,Rhum,Wdir,Wspd,Pres,stratum,pair_dist,y_a,y_b,lam
6.376579801719929,2.3506113315213977,ABCA,cotonou,6.4302,2.3471,5942.465478051806,21238.37353,17.0,150.0,167.0,570.0,10,14.21655559539795,176.27643411713552,1.4727756513843442,4.216555595397949,-0.0018419129964294947,3.546757185029844,-0.0018434947015185368,3.538064646733178,-0.000884144050142574,0.027699468985782183,1,-1.0,-1.0,0,0,2,7,1,28.4,51.0,15.0,14.8,1011.3,cotonou/ABCA,208.9278317199207,70.6,74.3,0.47875358318541394
6.392044783288596,2.3674331480182897,ABCA,cotonou,6.4302,2.3471,4781.648360415282,21238.37353,17.0,150.0,167.0,570.0,10,13.913839340209961,152.09435760291217,1.8337182734974042,3.913839340209961,-0.0023176607330868495,3.208204407049526,-0.0023243245273951154,3.1975593643188644,0.0007521371046702067,0.043783599055730996,1,-1.0,-1.0,0,0,0,2,1,33.0,44.0,10.0,11.2,1008.0,cotonou/ABCA,307.08506585455837,66.0,65.5,0.5011405863368826
6.376503146240206,2.3503206794941134,ABCA,cotonou,6.4302,2.3471,5948.912121908695,21238.37353,17.0,150.0,167.0,570.0,10,14.20145559310913,176.58875599904343,1.4713256906200805,4.201455593109131,-0.0018606688968663308,3.5514665345586747,-0.0018389772383308911,3.542759424143225,-0.0008065210973984851,0.026874893594740167,1,-1.0,-1.0,0,0,1,5,1,30.0,52.0,20.0,13.0,1011.0,cotonou/ABCA,208.9278317199207,74.3,70.6,0.6809453329047943
6.376803340595179,2.3514589164233874,ABCA,cotonou,6.4302,2.3471,5924.691854737561,21238.37353,17.0,150.0,167.0,570.0,10,14.146467685699463,175.36188123660554,1.4778692581055592,4.146467685699463,-0.0018710468848461006,3.5158418200943617,-0.0018499816258748369,3.498868053441911,-0.0007400234540303548,0.03584812513750514,1,-1.0,-1.0,0,0,0,4,1,30.0,52.0,20.0,13.0,1011.0,cotonou/ABCA,208.9278317199207,74.3,70.6,0.055540426710343205
6.376702236858415,2.3510755647548245,ABCA,cotonou,6.4302,2.3471,5932.540902926715,21238.37353,17.0,150.0,167.0,570.0,10,14.191477298736572,175.77620290993275,1.4754804193884474,4.191477298736572,-0.0018573369195835781,3.539982530594577,-0.00186090282116352,3.5227722977073275,-0.0018738505005959124,0.040104638249331366,1,-1.0,-1.0,0,0,2,2,1,28.4,51.0,15.0,14.8,1011.3,cotonou/ABCA,208.9278317199207,70.6,74.3,0.733826788364981
6.392074128922405,2.367006864074541,ABCA,cotonou,6.4302,2.3471,4756.768693598783,21238.37353,17.0,150.0,167.0,570.0,10,13.756994485855103,152.5754429635757,1.8451899577846758,3.7569944858551025,-0.002396913058602251,3.247242347378499,-0.0023516566116617327,3.23564158788452,0.0019565502802530925,0.08732921800700913,1,-1.0,-1.0,0,0,1,3,1,33.0,44.0,10.0,11.2,1008.0,cotonou/ABCA,307.08506585455837,65.5,66.0,0.6533101179199154
6.376397999119645,2.3499219966619838,ABCA,cotonou,6.4302,2.3471,5958.045432812612,21238.37353,17.0,150.0,167.0,570.0,10,14.2510666847229,177.01604044531382,1.4685944559760737,4.2510666847229,-0.001836132244448766,3.5593962137775645,-0.0018277615061644496,3.5418937364390253,-0.0006656209627787272,0.031915075970302194,1,-1.0,-1.0,0,0,0,11,1,30.0,52.0,20.0,13.0,1011.0,cotonou/ABCA,208.9278317199207,74.3,70.6,0.9000018340749973
6.376648536977561,2.350871952706586,ABCA,cotonou,6.4302,2.3471,5936.83735113475,21238.37353,17.0,150.0,167.0,570.0,10,14.191477298736572,175.99581030009165,1.4744130959026995,4.191477298736572,-0.0018562946200452418,3.548034535495437,-0.0018509021348849302,3.530741332340527,-0.0012071380820232324,0.029332132687776204,1,-1.0,-1.0,0,0,2,4,1,28.4,51.0,15.0,14.8,1011.3,cotonou/ABCA,208.9278317199207,70.6,74.3,0.6219520365858239
6.376354032521438,2.349755289977118,ABCA,cotonou,6.4302,2.3471,5961.963788853792,21238.37353,17.0,150.0,167.0,570.0,10,14.2510666847229,177.19431290312627,1.4676296801814848,4.2510666847229,-0.0018361322444487654,3.5608349829296744,-0.0018277615061644493,3.5432891405789038,-0.0006632486979166666,0.02475564728442176,1,-1.0,-1.0,0,0,0,12,1,30.0,52.0,20.0,13.0,1011.0,cotonou/ABCA,208.9278317199207,74.3,70.6,0.9915989136716398
6.392045518982389,2.3674224610979224,ABCA,cotonou,6.4302,2.3471,4781.020498836284,21238.37353,17.0,150.0,167.0,570.0,10,13.831446170806885,152.10635761424965,1.8349453082500833,3.8314461708068848,-0.002368764604220994,3.2078640904793074,-0.002338749642628607,3.20287262521585,0.0010034764644946041,0.04445871522655222,1,-1.0,-1.0,0,0,0,2,1,33.0,44.0,10.0,11.2,1008.0,cotonou/ABCA,307.08506585455837,66.0,65.5,0.49726851374001724
